epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.1087,1.729,5.71275,2.25505,0.09901,0.30438,0.0966,0.05126,1.34103,8.58422,2.39385,0.09802,2e-05,2e-05
2,28.3435,1.81307,5.38748,2.21593,0.09445,0.31967,0.09573,0.05017,1.36163,8.56105,2.42117,0.09505,4.99969e-05,4.99969e-05
3,30.0733,1.76379,5.91626,2.32788,0.35686,0.65645,0.45354,0.24467,1.29879,2.50335,2.00467,0.09208,7.99805e-05,7.99805e-05
4,32.3706,1.50712,2.93759,1.85924,0.28969,0.6274,0.27678,0.12395,1.96496,4.6527,2.85978,0.0891099,0.00010994,0.00010994
5,34.3992,1.36411,2.05242,1.73648,0.28087,0.39543,0.2998,0.12878,1.90524,2.53474,2.8757,0.0861399,0.000139863,0.000139863
6,36.4214,1.33403,1.73669,1.7063,0.33208,0.3944,0.21932,0.09252,2.29893,3.61655,3.58882,0.0831697,0.000169741,0.000169741
7,38.3872,1.27786,1.51895,1.68005,0.17006,0.32493,0.12431,0.03376,3.11632,9.4946,5.38298,0.0801996,0.000199561,0.000199561
8,40.3515,1.34451,1.49334,1.71828,0.68928,0.10976,0.10496,0.03377,2.63087,4.62752,4.82777,0.0772293,0.000229312,0.000229312
9,42.3243,1.389,1.47248,1.7184,0.1277,0.37312,0.11462,0.03959,2.59389,2.88301,5.07615,0.074259,0.000258985,0.000258985
10,44.3259,1.35685,1.31701,1.66126,0.16507,0.22652,0.10729,0.0348,2.2611,2.76545,4.04725,0.0712886,0.000288568,0.000288568
11,46.3078,1.29438,1.33792,1.69533,0.1467,0.4629,0.16082,0.05287,2.28122,2.7821,3.77954,0.068318,0.00031805,0.00031805
12,48.2948,1.4072,1.468,1.79324,0.32307,0.21458,0.19591,0.08305,2.45946,2.90987,4.48373,0.0653474,0.00034742,0.00034742
13,50.2283,1.39376,1.30361,1.72473,0.70536,0.23732,0.2425,0.11423,1.69205,4.15191,3.07025,0.0623767,0.000376668,0.000376668
14,52.2147,1.39793,1.33843,1.74249,0.37611,0.31007,0.29252,0.1138,1.95801,3.02629,3.34988,0.0594058,0.000405783,0.000405783
15,54.144,1.26179,1.23476,1.62621,0.41168,0.36487,0.35131,0.20907,1.29037,2.82943,2.18835,0.0564348,0.000434755,0.000434755
16,56.1414,1.2614,1.22601,1.63583,0.41576,0.45323,0.32852,0.13248,1.86199,2.94811,3.17548,0.0534636,0.000463572,0.000463572
17,58.0608,1.26751,1.21955,1.65232,0.31371,0.16424,0.09796,0.04826,2.24078,3.27694,3.67536,0.0504922,0.000492224,0.000492224
18,60.0167,1.32651,1.27128,1.71684,0.22774,0.35911,0.23083,0.11865,1.88364,2.57105,3.08196,0.0475207,0.000520702,0.000520702
19,61.9341,1.34812,1.19156,1.70455,0.35857,0.43851,0.4149,0.18089,1.9031,2.01185,3.31485,0.044549,0.000548993,0.000548993
20,63.8678,1.37303,1.2172,1.70596,0.56062,0.61028,0.56898,0.23766,2.02118,1.80644,3.43533,0.0415771,0.000577089,0.000577089
21,65.7958,1.25369,1.07949,1.61576,0.57173,0.48703,0.49463,0.21252,1.67957,1.884,2.71306,0.038605,0.000604979,0.000604979
22,67.7409,1.25864,1.10583,1.65041,0.31465,0.58796,0.36153,0.16035,2.05616,2.6748,2.98822,0.0356327,0.000632653,0.000632653
23,69.607,1.13201,1.03408,1.5554,0.45452,0.33679,0.27506,0.10607,2.34408,3.25562,3.32173,0.0326601,0.0006601,0.0006601
24,71.5731,1.12496,0.98746,1.50998,0.18299,0.41527,0.18925,0.07784,2.25783,3.24017,3.42316,0.0296873,0.000687312,0.000687312
25,73.4773,1.2343,1.10288,1.6366,0.21196,0.43124,0.21136,0.06896,2.26927,3.10328,3.53572,0.0267143,0.000714277,0.000714277
26,75.4262,1.33513,1.24009,1.67035,0.71868,0.31707,0.27697,0.12411,1.95543,2.92472,3.2086,0.023741,0.000740987,0.000740987
27,77.3052,1.21201,1.01433,1.55733,0.24938,0.58964,0.39618,0.19644,1.66321,2.43011,2.80015,0.0207674,0.000767431,0.000767431
28,79.2229,1.35663,1.12912,1.70477,0.62483,0.5979,0.62852,0.30481,1.62812,1.8399,2.92546,0.0177936,0.0007936,0.0007936
29,81.333,1.22021,1.08558,1.65244,0.43983,0.64373,0.53559,0.24106,1.83047,2.18792,3.30621,0.0148195,0.000819485,0.000819485
30,83.2797,1.26613,1.16191,1.64018,0.32773,0.37026,0.35136,0.1573,2.0252,2.88749,3.32016,0.0118451,0.000845076,0.000845076
31,85.1949,1.11704,1.08653,1.52854,0.34366,0.37182,0.37614,0.17735,1.93077,2.788,3.16454,0.00887036,0.000870364,0.000870364
32,87.1377,1.18544,1.06082,1.549,0.44471,0.50856,0.48358,0.21793,1.75096,2.82713,2.99948,0.00589534,0.000895341,0.000895341
33,89.0164,1.23307,1.15768,1.61956,0.36953,0.57603,0.40675,0.2021,1.45048,2.80098,2.54018,0.00292,0.000919996,0.000919996
34,90.9349,1.24542,1.11016,1.60827,0.25559,0.33638,0.27354,0.13157,1.72504,2.73768,3.01865,0.000934973,0.000934973,0.000934973
35,92.8493,1.39675,1.24175,1.76584,0.21712,0.46834,0.23096,0.12427,1.71949,3.49012,3.06179,0.000931067,0.000931067,0.000931067
36,94.8192,1.2478,1.11051,1.62603,0.27503,0.59645,0.35037,0.18237,1.70965,3.13973,2.74552,0.000927057,0.000927057,0.000927057
37,96.73,1.20943,1.09579,1.58748,0.3495,0.59367,0.3416,0.16965,1.74772,2.51101,2.82059,0.000922942,0.000922942,0.000922942
38,98.6602,1.12723,1.01612,1.49705,0.29686,0.53555,0.2944,0.12875,1.93339,2.61908,2.99903,0.000918725,0.000918725,0.000918725
39,100.585,1.25908,1.1274,1.59973,0.36656,0.50596,0.36422,0.13988,2.17783,3.53992,3.42018,0.000914405,0.000914405,0.000914405
40,102.54,1.20057,1.0664,1.57399,0.20345,0.36713,0.16168,0.04748,2.36795,8.11712,3.45097,0.000909984,0.000909984,0.000909984
41,104.449,1.1253,1.01364,1.54906,0.57802,0.09756,0.12913,0.04457,2.43344,7.08467,3.64791,0.000905463,0.000905463,0.000905463
42,106.399,1.23042,1.11963,1.56214,0.29512,0.58303,0.36858,0.1469,2.18177,3.71975,3.30238,0.000900844,0.000900844,0.000900844
43,108.32,1.0652,0.95086,1.48046,0.37669,0.43938,0.36892,0.1836,1.83025,4.03212,2.80366,0.000896127,0.000896127,0.000896127
44,110.271,1.08834,1.02451,1.5555,0.39208,0.39128,0.37467,0.20553,1.82763,5.86114,2.81838,0.000891313,0.000891313,0.000891313
45,112.184,1.13708,0.99382,1.50329,0.26914,0.38531,0.30459,0.16036,2.09602,6.94619,2.91045,0.000886404,0.000886404,0.000886404
46,114.131,1.1032,0.98583,1.50331,0.25344,0.33679,0.22702,0.08366,2.69046,6.76789,3.50313,0.000881401,0.000881401,0.000881401
47,116.069,1.18468,0.98473,1.59196,0.41893,0.45343,0.35844,0.1399,2.20162,5.42252,3.17375,0.000876305,0.000876305,0.000876305
48,118.01,1.08736,0.96174,1.48653,0.52124,0.53937,0.5156,0.27816,1.68937,4.70252,2.51565,0.000871117,0.000871117,0.000871117
49,119.926,1.06226,0.924,1.49883,0.60381,0.43098,0.49101,0.26592,1.58362,4.50455,2.3919,0.000865839,0.000865839,0.000865839
50,121.859,1.08434,1.03313,1.51137,0.34728,0.54163,0.43037,0.21803,1.67765,4.87181,2.49334,0.000860473,0.000860473,0.000860473
51,123.772,1.08035,0.94623,1.48692,0.37256,0.5314,0.41477,0.20196,1.85599,4.34002,2.61884,0.000855018,0.000855018,0.000855018
52,125.701,1.04843,0.99269,1.46575,0.37887,0.49637,0.4073,0.19321,2.14815,4.10656,2.87828,0.000849477,0.000849477,0.000849477
53,127.589,1.10008,0.97008,1.52225,0.60728,0.35496,0.43759,0.20459,1.86859,4.40808,2.55145,0.000843851,0.000843851,0.000843851
54,129.526,1.0721,0.98342,1.46277,0.40924,0.56115,0.51071,0.2259,1.63516,4.45724,2.41495,0.000838141,0.000838141,0.000838141
55,131.446,1.12171,0.97986,1.50835,0.46686,0.54441,0.50733,0.22097,1.69416,3.78209,2.42758,0.000832349,0.000832349,0.000832349
56,133.377,1.0781,0.97221,1.50867,0.50805,0.49791,0.51966,0.23084,1.96216,2.32818,3.06793,0.000826477,0.000826477,0.000826477
57,135.329,1.15035,1.0375,1.52444,0.58745,0.52361,0.57582,0.26434,1.87153,1.84278,3.02061,0.000820525,0.000820525,0.000820525
58,137.279,1.06635,0.90483,1.45867,0.6773,0.589,0.68291,0.37644,1.36706,1.64331,2.21493,0.000814495,0.000814495,0.000814495
59,139.352,1.07166,0.99399,1.48199,0.65346,0.5839,0.67925,0.37827,1.45568,1.81943,2.27233,0.000808389,0.000808389,0.000808389
60,141.494,1.13033,1.00588,1.56765,0.36111,0.72327,0.54911,0.25358,1.79147,3.41636,2.67967,0.000802208,0.000802208,0.000802208
61,143.4,1.12387,0.97277,1.501,0.35229,0.70213,0.54135,0.27794,1.7954,3.68584,2.65095,0.000795954,0.000795954,0.000795954
62,145.373,1.025,0.86125,1.45861,0.67491,0.52235,0.60889,0.31224,1.74223,2.99145,2.5026,0.000789628,0.000789628,0.000789628
63,147.295,1.03407,0.86862,1.4692,0.72022,0.55921,0.64617,0.30412,1.87135,2.8864,2.60979,0.000783231,0.000783231,0.000783231
64,149.237,1.03002,0.83367,1.44661,0.63415,0.65193,0.71549,0.39545,1.42182,2.30207,2.21548,0.000776766,0.000776766,0.000776766
65,151.358,1.10994,0.89598,1.51187,0.71462,0.58898,0.74296,0.39782,1.52004,2.23389,2.52989,0.000770234,0.000770234,0.000770234
66,153.535,1.05058,0.91499,1.4711,0.78343,0.73088,0.846,0.53716,1.2,2.04034,1.95075,0.000763637,0.000763637,0.000763637
67,155.656,1.00851,0.91258,1.43926,0.78181,0.74165,0.87038,0.56739,1.11199,1.59605,1.83256,0.000756976,0.000756976,0.000756976
68,157.814,1.11978,0.98793,1.53117,0.86098,0.84613,0.9275,0.64427,0.92893,1.202,1.6993,0.000750252,0.000750252,0.000750252
69,159.909,1.03911,0.86251,1.44158,0.74856,0.68018,0.74623,0.50567,0.96133,1.73884,1.70722,0.000743468,0.000743468,0.000743468
70,161.879,1.08485,0.9715,1.52712,0.53729,0.66009,0.59137,0.37756,1.20815,2.44137,1.93542,0.000736625,0.000736625,0.000736625
71,163.804,0.99699,0.89823,1.44733,0.62911,0.65236,0.68327,0.40952,1.26688,2.31395,1.92901,0.000729725,0.000729725,0.000729725
72,165.775,1.01113,0.88293,1.43146,0.71036,0.68474,0.71867,0.33659,1.43602,2.60251,1.95975,0.00072277,0.00072277,0.00072277
73,167.699,0.96853,0.8824,1.41253,0.67342,0.72302,0.68933,0.34244,1.44965,2.45891,2.01848,0.000715761,0.000715761,0.000715761
74,169.67,1.07162,0.89459,1.51191,0.77265,0.75809,0.80035,0.45714,1.30205,1.83328,1.99805,0.0007087,0.0007087,0.0007087
75,171.591,0.92829,0.86186,1.41769,0.79439,0.80047,0.86322,0.53423,1.18374,1.4943,1.85216,0.000701588,0.000701588,0.000701588
76,173.549,1.0289,0.76748,1.39754,0.83384,0.86607,0.87872,0.62445,0.9649,1.21148,1.55426,0.000694428,0.000694428,0.000694428
77,175.466,1.09548,0.94264,1.51977,0.79005,0.83238,0.86921,0.62334,0.92848,1.16,1.5314,0.000687222,0.000687222,0.000687222
78,177.428,0.92053,0.7861,1.34514,0.75034,0.72167,0.71336,0.51792,0.92626,1.47322,1.50873,0.00067997,0.00067997,0.00067997
79,179.352,0.96293,0.807,1.36584,0.82303,0.7058,0.72316,0.53283,0.89442,1.47932,1.49296,0.000672675,0.000672675,0.000672675
80,181.28,0.9993,0.83357,1.42575,0.84777,0.904,0.87516,0.67725,0.75928,1.25282,1.37,0.000665339,0.000665339,0.000665339
81,183.458,0.91941,0.74943,1.38252,0.91105,0.89491,0.92219,0.72059,0.73814,1.12115,1.33297,0.000657963,0.000657963,0.000657963
82,185.642,0.99903,0.77945,1.43325,0.88109,0.95433,0.96445,0.7807,0.68579,0.91573,1.27095,0.00065055,0.00065055,0.00065055
83,187.744,0.92831,0.71362,1.33018,0.88481,0.93306,0.96749,0.75389,0.74147,0.88309,1.32391,0.000643101,0.000643101,0.000643101
84,189.706,0.96964,0.80585,1.43158,0.9177,0.89252,0.9505,0.74442,0.79979,0.79616,1.42619,0.000635617,0.000635617,0.000635617
85,191.634,0.92382,0.80371,1.41207,0.92175,0.92839,0.95434,0.73179,0.88382,0.78134,1.5096,0.000628101,0.000628101,0.000628101
86,193.571,0.94176,0.79721,1.37448,0.93997,0.88328,0.95034,0.69134,0.90146,0.79433,1.54911,0.000620555,0.000620555,0.000620555
87,195.475,0.86594,0.66509,1.30891,0.95009,0.89082,0.95073,0.72891,0.81816,0.71833,1.44552,0.000612981,0.000612981,0.000612981
88,197.403,0.9567,0.84037,1.39134,0.95851,0.95122,0.96525,0.78122,0.74377,0.58564,1.33054,0.00060538,0.00060538,0.00060538
89,199.577,0.99865,0.85007,1.41955,0.96133,0.9508,0.98209,0.80049,0.70793,0.52536,1.28858,0.000597754,0.000597754,0.000597754
90,201.755,0.982,0.76212,1.40307,0.99841,0.9878,0.99432,0.8049,0.73379,0.46477,1.32481,0.000590105,0.000590105,0.000590105
91,203.85,0.85918,0.73442,1.30167,0.96857,0.9878,0.99285,0.79207,0.76366,0.50904,1.36405,0.000582435,0.000582435,0.000582435
92,205.852,0.85777,0.71435,1.28886,0.97594,0.99367,0.99231,0.80398,0.69552,0.53034,1.28009,0.000574746,0.000574746,0.000574746
93,207.76,0.8723,0.77177,1.29373,0.97141,0.95956,0.98045,0.82061,0.65767,0.595,1.22595,0.00056704,0.00056704,0.00056704
94,209.973,0.91753,0.7459,1.35572,0.91405,0.89059,0.96951,0.79747,0.66594,0.66871,1.22084,0.000559318,0.000559318,0.000559318
95,211.893,0.84908,0.65513,1.31107,0.89931,0.9472,0.9773,0.8125,0.65349,0.62031,1.20654,0.000551584,0.000551584,0.000551584
96,213.848,0.78666,0.66526,1.24238,0.97198,0.98767,0.995,0.85273,0.61697,0.47291,1.16426,0.000543837,0.000543837,0.000543837
97,215.973,0.81508,0.71164,1.29795,0.9909,0.99608,0.995,0.85131,0.59552,0.42462,1.1475,0.000536081,0.000536081,0.000536081
98,217.877,0.91424,0.75428,1.36052,0.98369,1,0.995,0.86429,0.53214,0.3962,1.09124,0.000528318,0.000528318,0.000528318
99,219.955,0.87078,0.72567,1.31407,0.98265,0.99684,0.99452,0.85886,0.52854,0.41473,1.08012,0.000520548,0.000520548,0.000520548
100,221.89,0.80149,0.68003,1.29821,0.97414,0.97651,0.99052,0.86617,0.5255,0.41922,1.07878,0.000512775,0.000512775,0.000512775
101,223.949,0.79784,0.70224,1.30702,0.98257,0.98936,0.99173,0.8754,0.52769,0.41377,1.08656,0.000505,0.000505,0.000505
102,226.101,0.85342,0.77882,1.29853,0.95226,0.98802,0.99316,0.88128,0.49876,0.40935,1.06163,0.000497225,0.000497225,0.000497225
103,228.183,0.953,0.81756,1.39519,0.947,0.98936,0.99412,0.87877,0.48897,0.41129,1.0523,0.000489452,0.000489452,0.000489452
104,230.114,0.83787,0.74479,1.29349,0.95161,1,0.99417,0.87101,0.5197,0.39922,1.07285,0.000481682,0.000481682,0.000481682
105,231.969,0.75448,0.66994,1.23091,0.99056,0.99854,0.995,0.87453,0.52698,0.37043,1.07556,0.000473919,0.000473919,0.000473919
106,233.871,0.83222,0.66308,1.29572,0.98919,1,0.995,0.88247,0.49776,0.34322,1.04597,0.000466163,0.000466163,0.000466163
107,235.97,0.73615,0.60908,1.23049,0.98831,1,0.995,0.87232,0.50187,0.33392,1.04948,0.000458416,0.000458416,0.000458416
108,237.888,0.74538,0.63637,1.2287,0.99566,1,0.995,0.85804,0.58361,0.36305,1.1294,0.000450682,0.000450682,0.000450682
109,239.753,0.79021,0.65575,1.25697,0.99381,1,0.995,0.86451,0.58105,0.36856,1.13219,0.00044296,0.00044296,0.00044296
110,241.662,0.76817,0.62718,1.23626,0.99505,1,0.995,0.88393,0.52983,0.36382,1.08663,0.000435254,0.000435254,0.000435254
111,243.768,0.84167,0.71509,1.30531,0.98492,1,0.99357,0.84211,0.61489,0.40353,1.13198,0.000427565,0.000427565,0.000427565
112,245.742,0.89288,0.72784,1.37224,0.99191,0.9982,0.995,0.83767,0.66011,0.41546,1.17434,0.000419895,0.000419895,0.000419895
113,247.587,0.79362,0.64118,1.2762,0.99683,0.98613,0.99476,0.86302,0.59973,0.40548,1.14618,0.000412246,0.000412246,0.000412246
114,249.474,0.78629,0.58687,1.30186,0.99509,0.97877,0.995,0.86557,0.53679,0.38874,1.1371,0.00040462,0.00040462,0.00040462
115,251.331,0.84759,0.65076,1.32452,0.99462,0.97841,0.995,0.8693,0.52795,0.38854,1.12931,0.000397019,0.000397019,0.000397019
116,253.233,0.72068,0.60991,1.22408,0.9738,1,0.995,0.86805,0.54618,0.38302,1.12405,0.000389445,0.000389445,0.000389445
117,255.084,0.76046,0.61082,1.2342,0.97193,1,0.99459,0.86635,0.58056,0.38754,1.13664,0.000381899,0.000381899,0.000381899
118,256.997,0.79752,0.62936,1.30741,0.96523,1,0.9944,0.86893,0.56352,0.35668,1.10094,0.000374383,0.000374383,0.000374383
119,258.903,0.69427,0.55446,1.15117,0.98698,0.99818,0.99479,0.87126,0.52927,0.33722,1.07529,0.000366899,0.000366899,0.000366899
120,260.843,0.76951,0.63333,1.24578,0.98356,1,0.99458,0.8855,0.46354,0.32802,1.03606,0.00035945,0.00035945,0.00035945
121,262.923,0.80594,0.65578,1.283,0.99078,0.98936,0.99479,0.89481,0.45706,0.31798,1.03106,0.000352037,0.000352037,0.000352037
122,265.042,0.78506,0.65135,1.25647,0.98375,0.99739,0.995,0.88078,0.49118,0.29918,1.05262,0.000344661,0.000344661,0.000344661
123,266.948,0.81457,0.67775,1.29561,0.98312,0.99844,0.995,0.87946,0.48801,0.30482,1.04987,0.000337325,0.000337325,0.000337325
124,268.851,0.78319,0.67339,1.27112,0.99646,0.99042,0.995,0.89474,0.45029,0.30041,1.02024,0.00033003,0.00033003,0.00033003
125,270.748,0.65858,0.51866,1.15197,0.99671,0.99996,0.995,0.91326,0.43279,0.29541,1.00142,0.000322778,0.000322778,0.000322778
126,272.89,0.79704,0.59624,1.27171,0.99811,1,0.995,0.90446,0.43039,0.30285,0.99715,0.000315572,0.000315572,0.000315572
127,274.753,0.65098,0.56405,1.18805,0.99727,1,0.995,0.90968,0.42056,0.3004,0.99046,0.000308412,0.000308412,0.000308412
128,276.671,0.73781,0.59235,1.21023,0.99561,1,0.995,0.90901,0.41537,0.31054,0.99314,0.0003013,0.0003013,0.0003013
